Brand,Country,Whiskies,Votes,Rating,WB Ranking,Continente
Schloss Marienburg,Germany,1,0,49.85,G,Europa
Schlosswhisky,Germany,4,1,79.38,E,Europa
Schraml,Germany,1,0,49.85,G,Europa
Schwäbischer Whisky,Germany,5,1,70,F,Europa
Schwane Destillerie,Germany,6,4,83.67,D,Europa
Schwarze,Germany,1,0,49.85,G,Europa
Schwarzer Pirat,Germany,4,2,77.34,E,Europa
Schwarzwälder Whisky,Germany,1,1,71,F,Europa
Schwenker,Germany,3,2,86.5,C,Europa
Scottish Buiterling,Germany,5,3,86.67,C,Europa
Scriptor,Germany,6,3,70.83,F,Europa
Seute Deern,Germany,4,2,79.67,E,Europa
Sheeps under Palms,Germany,1,1,88,C,Europa
Sherry Bomb,Germany,2,2,89.36,C,Europa
Sild,Germany,3,2,83.9,D,Europa
Simon's,Germany,2,1,71.5,F,Europa
Sin-Gold,Germany,8,5,73.87,F,Europa
Slitisian,Germany,4,3,60.83,G,Europa
Sloupisti,Germany,13,12,73.75,F,Europa
Slyrs,Germany,115,80,77.16,E,Europa
Sonnenscheiner,Germany,4,4,71.11,F,Europa
Sperbers,Germany,3,1,84,D,Europa
Spezialitätenbrauerei Eckart,Germany,5,0,49.85,G,Europa
Spinnaker,Germany,15,8,72.49,F,Europa
St. Kilian,Germany,12,11,81.31,D,Europa
Stadler,Germany,1,0,49.85,G,Europa
Stonewall Malts,Germany,2,2,89.94,C,Europa
Stonewood,Germany,11,7,60.05,G,Europa
Stork Club,Germany,6,3,77.56,E,Europa
Störtebeker,Germany,2,1,76.5,E,Europa
Sylter Ellenbogen,Germany,NA,0,49.85,G,Europa
Sylter Offshore,Germany,1,1,75.67,E,Europa
Sylter Tide Whisky,Germany,1,1,68.9,G,Europa
Sylter Watt,Germany,5,2,80,D,Europa
Tammer,Germany,1,0,49.85,G,Europa
Taranis,Germany,3,2,79,E,Europa
Teaghlach,Germany,1,1,89.86,C,Europa
Tecker,Germany,19,9,72.28,F,Europa
The Alrik,Germany,13,13,90.34,B,Europa
The Edge,Germany,1,1,80.67,D,Europa
The Lübbehusen,Germany,1,1,82.86,D,Europa
The Nine Springs,Germany,12,11,79.5,E,Europa
The Vogel,Germany,2,2,78.2,E,Europa
The Westfalian,Germany,14,10,85.17,C,Europa
Thorneke,Germany,2,2,73,F,Europa
Thousand Mountains,Germany,7,5,83.41,D,Europa
Threeland,Germany,23,12,70.09,F,Europa
Timeless Selected Spirits,Germany,1,1,73,F,Europa
Toolmaker,Germany,1,1,83,D,Europa
Trader,Germany,6,4,84.25,D,Europa
Triple Malt Whisky,Germany,1,1,82.5,D,Europa
Tunnarius,Germany,1,1,79.5,E,Europa
Van Loon,Germany,7,4,71.63,F,Europa
Vangiones,Germany,3,2,54,G,Europa
Vielanker Brauhaus,Germany,2,2,51.63,G,Europa
Vier Tannen,Germany,1,0,49.85,G,Europa
Wecklein,Germany,4,2,66.75,G,Europa
Weingut Dotzauer,Germany,1,1,86,C,Europa
Weingut Mößlein,Germany,3,2,78.46,E,Europa
Westlind,Germany,1,0,49.85,G,Europa
Whesskey,Germany,21,13,50.87,G,Europa
Whisky aus dem Steigerwald,Germany,2,1,65,G,Europa
Whisky of GDR,Germany,1,1,90.31,B,Europa
Whiskyclub Bielefeld,Germany,2,0,49.85,G,Europa
Whiskyfreunde Baden,Germany,2,2,86.88,C,Europa
Whiskyladen Radebeul,Germany,4,4,86.25,C,Europa
Whiskyland Franken,Germany,1,1,87.5,C,Europa
Whiskymania Klub,Germany,12,7,83.33,D,Europa
Wild Whisky,Germany,2,2,74.33,F,Europa
Winterhauch,Germany,1,0,49.85,G,Europa
Wirtemberg,Germany,2,1,82,D,Europa
WitchHill,Germany,1,1,85.5,C,Europa
Wolfenweiler,Germany,2,1,24,G,Europa
Zaiser,Germany,8,0,49.85,G,Europa
Zebundus,Germany,2,1,49,G,Europa
Zitcy,Germany,1,1,77.67,E,Europa
Agárdi,Hungary,1,1,80.67,D,Europa
Békési Manufaktúra,Hungary,3,2,57.34,G,Europa
Gemenc,Hungary,2,1,78,E,Europa
Flóki,Iceland,27,21,68.83,G,Europa
Green Land,Iceland,1,0,49.85,G,Europa
2 Gingers,Ireland,1,1,76.27,E,Europa
A Distillery in Ireland,Ireland,3,3,87.08,C,Europa
A Drop of the Irish,Ireland,29,21,84.09,D,Europa
Allman & Co.,Ireland,1,0,49.85,G,Europa
Allman's,Ireland,2,0,49.85,G,Europa
Averys,Ireland,5,0,49.85,G,Europa
Baileys,Ireland,1,0,49.85,G,Europa
Ballygeary,Ireland,1,0,49.85,G,Europa
Ballykeefe Distillery,Ireland,1,1,84,D,Europa
Ballylough,Ireland,1,0,49.85,G,Europa
Bán Poitín,Ireland,2,1,65,G,Europa
Barr an Uisce,Ireland,3,2,83.33,D,Europa
Bent's,Ireland,1,0,49.85,G,Europa
Black Rock,Ireland,4,4,86.23,C,Europa
Blackwater Distillery,Ireland,2,1,87.83,C,Europa
Blackwood,Ireland,5,4,63,G,Europa
Blarney Stone,Ireland,1,1,69,G,Europa
Bow Street Distillery,Ireland,2,2,92.21,B,Europa
Boyne,Ireland,5,5,84.77,D,Europa
Brogans Legacy,Ireland,2,2,82.25,D,Europa
Brothers in Arms,Ireland,4,4,82.92,D,Europa
Brothership,Ireland,3,0,49.85,G,Europa
Bunratty,Ireland,7,2,35.63,G,Europa
Burke's,Ireland,7,4,87.29,C,Europa
Bushmills,Ireland,229,140,82.74,D,Europa
Carlingford,Ireland,1,1,78.5,E,Europa
Cassidy's,Ireland,2,1,77,E,Europa
Cavanagh,Ireland,1,0,49.85,G,Europa
Celtic Cask,Ireland,24,12,86,C,Europa
Cill Áirne Cask,Ireland,1,0,49.85,G,Europa
Cloch Fhealsúnaí,Ireland,1,1,82,D,Europa
Clonakilty,Ireland,2,2,84.42,D,Europa
Clonmel,Ireland,2,2,83,D,Europa
Clontarf,Ireland,23,16,72.03,F,Europa
Coleraine,Ireland,2,2,84.34,D,Europa
Columban of Iona,Ireland,1,1,90.68,B,Europa
Conaill Carnagh,Ireland,1,1,86,C,Europa
Concannon,Ireland,1,1,70.5,F,Europa
Connacht,Ireland,2,1,82,D,Europa
Connemara,Ireland,87,72,82.82,D,Europa
Cooley,Ireland,80,64,85.94,C,Europa
Coomara,Ireland,1,0,49.85,G,Europa
Cork Distilleries Co.,Ireland,2,0,49.85,G,Europa
County Louth,Ireland,1,1,81.57,D,Europa
County of Antrim,Ireland,2,2,90.5,B,Europa
Craoi na Móna,Ireland,3,2,77.83,E,Europa
Cú Chulainn,Ireland,2,2,84.32,D,Europa
Cu Culhain's Hibernian,Ireland,1,1,80,D,Europa
D. W. D. - Dublin Whiskey Distillery,Ireland,2,2,82.5,D,Europa
Danny Boy,Ireland,3,2,80.95,D,Europa
Delaney's,Ireland,1,1,76,E,Europa
Dingle,Ireland,13,12,81.55,D,Europa
Dublin,Ireland,1,1,77,E,Europa
